[00:00:00.620 - 00:00:12.300] 我们是心肺科105院病房
[00:00:12.300 - 00:00:14.339] 明天就有冠状动脉造影的病人
[00:00:14.339 - 00:00:15.740] 我们在这里举行一盘话
[00:00:15.740 - 00:00:17.260] 因为明天工作量比较大
[00:00:17.260 - 00:00:20.339] 整个科我们9个病房有200多个病人
[00:00:20.339 - 00:00:22.059] 是想做病房医生
[00:00:22.059 - 00:00:24.219] 大家属于不同的主刀医生来做的
[00:00:24.219 - 00:00:26.859] 一般是谁说你进来的 谁说你做的
[00:00:26.859 - 00:00:29.179] 那么首先我们第一个事要讲一下
[00:00:29.219 - 00:00:32.579] 我们明天为什么要做造影
[00:00:32.579 - 00:00:34.939] 来这个贡献出来的目的是什么
[00:00:34.939 - 00:00:38.140] 我们做造影的目的是为了清晰的诊断
[00:00:38.140 - 00:00:39.740] 你有没有冠心病
[00:00:39.740 - 00:00:42.380] 以及评估你冠心病的人工程度
[00:00:42.380 - 00:00:44.340] 那么它是目前的清标准
[00:00:44.340 - 00:00:47.140] 也就是世界上最准确的一个办法
[00:00:47.140 - 00:00:49.979] 那么这个清标准有点像高考
[00:00:49.979 - 00:00:51.460] 它有一个成绩的
[00:00:51.460 - 00:00:54.179] 那么这个成绩分了四个档次
[00:00:54.179 - 00:00:56.179] 第一个档次我们考的最好的
[00:00:56.179 - 00:00:57.700] 考重点大学的
[00:00:57.740 - 00:00:59.619] 血管做出来一点半块都没有
[00:00:59.619 - 00:01:00.700] 这是最好的
[00:01:00.700 - 00:01:02.740] 那你做完造影人就回来了
[00:01:02.740 - 00:01:04.620] 就好了 就排除了
[00:01:04.620 - 00:01:07.900] 那么第二种结果就是考一个普通的一本
[00:01:07.900 - 00:01:11.459] 这个时候表示你戴上了冠心病的帽子
[00:01:11.459 - 00:01:14.019] 但是你的冠心病不严重
[00:01:14.019 - 00:01:15.939] 只需要单纯吃药
[00:01:15.939 - 00:01:17.859] 如果是这种情况也还可以
[00:01:17.859 - 00:01:20.859] 我们做完检查也就回来了
[00:01:20.859 - 00:01:23.579] 那么第三个档次就是考一个二本
[00:01:23.579 - 00:01:24.939] 考二本的话
[00:01:24.980 - 00:01:28.700] 代表你至少有一根主要冠状动脉
[00:01:28.700 - 00:01:30.579] 有了严重的狭窄
[00:01:30.579 - 00:01:32.500] 这个严重的狭窄半块
[00:01:32.500 - 00:01:35.260] 导致了明显的心肌缺血
[00:01:35.260 - 00:01:36.900] 在这个前提之下
[00:01:36.900 - 00:01:38.260] 光吃药就不够了
[00:01:38.260 - 00:01:39.819] 我们除了吃药以外
[00:01:39.819 - 00:01:41.739] 还需要通过微创的办法
[00:01:41.739 - 00:01:44.219] 把你这个狭窄的地方给你疏通
[00:01:44.219 - 00:01:45.739] 那么疏通的办法有两种
[00:01:45.739 - 00:01:47.859] 一种是放一个支架进去
[00:01:47.859 - 00:01:51.340] 还有一种是用球囊或张疏通一下
[00:01:51.340 - 00:01:52.579] 那么这两种办法
[00:01:52.579 - 00:01:54.500] 后面我会讲怎么选择
[00:01:54.540 - 00:01:55.540] 但无论如何
[00:01:55.540 - 00:01:58.620] 这两个办法都是微创的
[00:01:58.620 - 00:02:01.099] 如果是你需要做这个东西
[00:02:01.099 - 00:02:04.219] 主刀医生先会出来和你的家属见面
[00:02:04.219 - 00:02:06.459] 告诉他你的病情是这个
[00:02:06.459 - 00:02:08.139] 需要做介入疏通
[00:02:08.139 - 00:02:09.819] 如果你家属同意的话
[00:02:09.819 - 00:02:12.259] 主刀医生会马上回到手术台上
[00:02:12.259 - 00:02:13.699] 把这第二个手术
[00:02:13.699 - 00:02:15.780] 介入治疗手术给你做好
[00:02:15.780 - 00:02:16.819] 血管打通
[00:02:16.819 - 00:02:18.099] 然后我们再回来
[00:02:18.099 - 00:02:19.699] 这是第三种情况
[00:02:19.699 - 00:02:20.979] 那么最后一个档次
[00:02:20.979 - 00:02:22.539] 就是本科都没考上了
[00:02:22.539 - 00:02:24.259] 这个时候就比较严重了
[00:02:24.259 - 00:02:26.379] 说明你所有的血管
[00:02:26.379 - 00:02:28.060] 都是严重的斑块
[00:02:28.060 - 00:02:29.539] 全部长满了斑块
[00:02:29.539 - 00:02:30.460] 或者呢
[00:02:30.460 - 00:02:31.659] 就是你运气不太好
[00:02:31.659 - 00:02:35.900] 这个斑块长在了血管总开口的地方
[00:02:35.900 - 00:02:38.419] 这两种情况属于严重患心病
[00:02:38.419 - 00:02:42.139] 但是微创手术无法解决你的问题
[00:02:42.139 - 00:02:44.500] 这个时候如果你想开通血管
[00:02:44.500 - 00:02:45.860] 最好的办法是什么
[00:02:45.860 - 00:02:47.659] 就是搭桥
[00:02:47.659 - 00:02:49.620] 做观众动脉搭桥手术
[00:02:49.620 - 00:02:51.219] 搭桥是一个大手术
